state,count,date
Total,208528,2020-06-03
Maharashtra,72300,2020-06-03
Tamil Nadu,24586,2020-06-03
Delhi,22132,2020-06-03
Gujarat,17632,2020-06-03
Rajasthan,9475,2020-06-03
Madhya Pradesh,8420,2020-06-03
Uttar Pradesh,8729,2020-06-03
West Bengal,6168,2020-06-03
State Unassigned,7123,2020-06-03
Bihar,4096,2020-06-03
Andhra Pradesh,3971,2020-06-03
Karnataka,3796,2020-06-03
Telangana,2891,2020-06-03
Jammu and Kashmir,2718,2020-06-03
Haryana,2652,2020-06-03
Punjab,2342,2020-06-03
Odisha,2388,2020-06-03
Assam,1673,2020-06-03
Kerala,1413,2020-06-03
Uttarakhand,1066,2020-06-03
Jharkhand,722,2020-06-03
Chhattisgarh,564,2020-06-03
Himachal Pradesh,345,2020-06-03
Tripura,520,2020-06-03
Chandigarh,301,2020-06-03
Manipur,89,2020-06-03
Ladakh,81,2020-06-03
Goa,79,2020-06-03
Puducherry,88,2020-06-03
Nagaland,58,2020-06-03
Andaman and Nicobar Islands,33,2020-06-03
Meghalaya,31,2020-06-03
Arunachal Pradesh,28,2020-06-03
Dadra and Nagar Haveli and Daman and Diu,4,2020-06-03
Mizoram,13,2020-06-03
Sikkim,1,2020-06-03
Lakshadweep,0,2020-06-03
