state,count,date
Total,267614,2020-06-09
Maharashtra,88529,2020-06-09
Tamil Nadu,33229,2020-06-09
Delhi,29943,2020-06-09
Gujarat,20574,2020-06-09
Uttar Pradesh,10947,2020-06-09
Rajasthan,11020,2020-06-09
Madhya Pradesh,9638,2020-06-09
West Bengal,8613,2020-06-09
State Unassigned,8803,2020-06-09
Karnataka,5760,2020-06-09
Bihar,5364,2020-06-09
Haryana,4991,2020-06-09
Andhra Pradesh,4813,2020-06-09
Jammu and Kashmir,4285,2020-06-09
Telangana,3650,2020-06-09
Odisha,3140,2020-06-09
Assam,2869,2020-06-09
Punjab,2663,2020-06-09
Kerala,2006,2020-06-09
Uttarakhand,1488,2020-06-09
Jharkhand,1330,2020-06-09
Chhattisgarh,1197,2020-06-09
Tripura,840,2020-06-09
Himachal Pradesh,429,2020-06-09
Goa,330,2020-06-09
Chandigarh,323,2020-06-09
Manipur,282,2020-06-09
Puducherry,128,2020-06-09
Nagaland,127,2020-06-09
Ladakh,103,2020-06-09
Arunachal Pradesh,57,2020-06-09
Mizoram,42,2020-06-09
Meghalaya,39,2020-06-09
Andaman and Nicobar Islands,33,2020-06-09
Dadra and Nagar Haveli and Daman and Diu,22,2020-06-09
Sikkim,7,2020-06-09
Lakshadweep,0,2020-06-09
