state,count,date
Total,181827,2020-05-31
Maharashtra,65168,2020-05-31
Tamil Nadu,21184,2020-05-31
Delhi,18549,2020-05-31
Gujarat,16356,2020-05-31
Rajasthan,8617,2020-05-31
Madhya Pradesh,7891,2020-05-31
Uttar Pradesh,7701,2020-05-31
West Bengal,5130,2020-05-31
State Unassigned,5043,2020-05-31
Bihar,3565,2020-05-31
Andhra Pradesh,3461,2020-05-31
Karnataka,2922,2020-05-31
Telangana,2499,2020-05-31
Punjab,2233,2020-05-31
Jammu and Kashmir,2341,2020-05-31
Odisha,1819,2020-05-31
Haryana,1923,2020-05-31
Kerala,1209,2020-05-31
Assam,1217,2020-05-31
Uttarakhand,749,2020-05-31
Jharkhand,563,2020-05-31
Chhattisgarh,447,2020-05-31
Himachal Pradesh,313,2020-05-31
Chandigarh,289,2020-05-31
Tripura,271,2020-05-31
Ladakh,77,2020-05-31
Goa,70,2020-05-31
Manipur,60,2020-05-31
Puducherry,57,2020-05-31
Nagaland,36,2020-05-31
Andaman and Nicobar Islands,33,2020-05-31
Meghalaya,27,2020-05-31
Arunachal Pradesh,3,2020-05-31
Dadra and Nagar Haveli and Daman and Diu,2,2020-05-31
Mizoram,1,2020-05-31
Sikkim,1,2020-05-31
Lakshadweep,0,2020-05-31
